{'order_id': 21000, 'package': {'weight': 326, 'volume': 62018, 'imperial_unit': 'false'}}
{'order_id': 21001, 'package': {'weight': 460, 'volume': 110592, 'imperial_unit': 'false'}}
{'order_id': 21002, 'package': {'weight': 500, 'volume': 1440, 'imperial_unit': 'false'}}
{'order_id': 21003, 'package': {'weight': 260, 'volume': 100700, 'imperial_unit': 'true'}}
{'order_id': 21004, 'package': {'weight': 168, 'volume': 20700, 'imperial_unit': 'true'}}
{'order_id': 21005, 'package': {'weight': 313, 'volume': 26400, 'imperial_unit': 'false'}}
{'order_id': 21006, 'package': {'weight': 92, 'volume': 81840, 'imperial_unit': 'false'}}
{'order_id': 21007, 'package': {'weight': 370, 'volume': 130036, 'imperial_unit': 'true'}}
{'order_id': 21008, 'package': {'weight': 220, 'volume': 33660, 'imperial_unit': 'true'}}
{'order_id': 21009, 'package': {'weight': 470, 'volume': 161082, 'imperial_unit': 'false'}}
{'order_id': 21010, 'package': {'weight': 588, 'volume': 229376, 'imperial_unit': 'false'}}
{'order_id': 21011, 'package': {'weight': 119, 'volume': 27368, 'imperial_unit': 'false'}}
{'order_id': 21012, 'package': {'weight': 243, 'volume': 23256, 'imperial_unit': 'false'}}
{'order_id': 21013, 'package': {'weight': 566, 'volume': 1, 'imperial_unit': 'false'}}
{'order_id': 21014, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21015, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21016, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21017, 'package': {'weight': 425, 'volume': 69120, 'imperial_unit': 'true'}}
{'order_id': 21018, 'package': {'weight': 40, 'volume': 52800, 'imperial_unit': 'true'}}
{'order_id': 21019, 'package': {'weight': 475, 'volume': 200633, 'imperial_unit': 'true'}}
{'order_id': 21020, 'package': {'weight': 900, 'volume': 69120, 'imperial_unit': 'true'}}
{'order_id': 21021, 'package': {'weight': 110, 'volume': 29636, 'imperial_unit': 'true'}}
{'order_id': 21022, 'package': {'weight': 200, 'volume': 161280, 'imperial_unit': 'false'}}
{'order_id': 21023, 'package': {'weight': 120, 'volume': 58956, 'imperial_unit': 'false'}}
{'order_id': 21024, 'package': {'weight': 600, 'volume': 46080, 'imperial_unit': 'false'}}
{'order_id': 21025, 'package': {'weight': 700, 'volume': 550440, 'imperial_unit': 'false'}}
{'order_id': 21026, 'package': {'weight': 75, 'volume': 31680, 'imperial_unit': 'false'}}
{'order_id': 21027, 'package': {'weight': 180, 'volume': 43680, 'imperial_unit': 'false'}}
{'order_id': 21028, 'package': {'weight': 159, 'volume': 87750, 'imperial_unit': 'false'}}
{'order_id': 21029, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21030, 'package': {'weight': 660, 'volume': 50688, 'imperial_unit': 'false'}}
{'order_id': 21031, 'package': {'weight': 899, 'volume': 93080, 'imperial_unit': 'false'}}
{'order_id': 21032, 'package': {'weight': 298, 'volume': 48881, 'imperial_unit': 'false'}}
{'order_id': 21033, 'package': {'weight': 29, 'volume': 7000, 'imperial_unit': 'false'}}
